"PCN Number","Publish Date","PCN Title","Key Characteristics",4M,"Product Categories",Abstract
119280-02,"2022/12/16 22:00:00","Select Intel(R) Xeon(R) Processor D-1700 and D-2700 Series SKUs, PCN 119280-02, Order Code, MM# Updates Due to Stepping Change, Reason for Revision: Rectify PCN Number Mismatch","Order Code",,"Embedded Processors, Networking Products","Embedded Processors, Networking Products, Order Code, Customers to place future orders using new order code, see details in PCN."
119391-00,"2022/12/14 22:00:00","Select NUC Kit/Mini PC, PCN 119391-00, Product Design, Label, BIOS Update, Windows 11 OS Image, GML,   Rating Label and Regulatory Content Update","Product Design","Material, Method","Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119383-00,"2022/12/14 22:00:00","Select Intel(R) Wireless-AC 9260, 2230 SKUs, PCN 119383-00, Label, Label Update",Label,"Machine, Material","Networking Products","Networking Products, Label, Intel anticipates no impact to customers, see PCN detail for further information."
119390-00,"2022/12/13 22:00:00","Intel(R) Server System R1304WF0YSR, PCN 119390-00, Product Design, Label, Label, Server Board, PSU, Riser, and HSBP Update","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119382-00,"2022/12/12 22:00:00","Intel(R) Ethernet Network Adapters, PCN 119382-00, Product Design, Label, Firmware and NVM Updates","Product Design","Material, Method","Networking Products","Networking Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119388-00,"2022/12/12 22:00:00","Intel(R) NUC 13 Extreme Kit for NUC13RNGi7 and NUC13RNGi9, PCN 119388-00, Label, Documentation, NUC13RN regulatory label and documentation change",Label,"Machine, Material","Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Label, Intel anticipates no impact to customers, see PCN detail for further information."
119385-00,"2022/12/12 22:00:00","Select Intel(R) Wireless-AC 9260, 1216 SKUs, PCN 119385-00, Product Discontinuance, End of life","Product Discontinuance",,"Networking Products, Wireless Products","Networking Products, Wireless Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119369-00,"2022/12/09 22:00:00","Intel(R) Xeon(R) Processor E3-1515M v5, PCN 119369-00, Product Discontinuance, Produt End of Life","Product Discontinuance",,"Embedded Processors, Mobile Processors","Embedded Processors, Mobile Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119384-00,"2022/12/09 22:00:00","Intel(R) Server System D50TNP1MHCRAC, PCN 119384-00, Product Design, BIOS/BMC/ME/FRUSDR Firmware Update in Factory","Product Design","Material, Method","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119378-00,"2022/12/07 22:00:00","Select Intel(R) Wireless-AC 9260, 2230 SKUs, PCN 119378-00, Label, Label Updates",Label,"Machine, Material","Networking Products, Wireless Products","Networking Products, Wireless Products, Label, Intel anticipates no impact to customers, see PCN detail for further information."
