id,date,title,key_characteristics,categories,abstract,pdf_url
103815-00,2003-12-31,"Hardware Management ASIC, CPU Socket, SIO, Memory DIMM Connector and P09 BIOS Update, PCN 103815-00, FYI, Material conversions:Hardware Management ASIC, CPU Socket, SIO, Memory DIMM Connector and P09 BIOS Update",Product Design,Desktop Boards,"Desktop Boards, Product Design",https://QDMS.intel.com/dm/i.aspx/6FED0864-4828-44A8-B0EA-47105672A595/PCN103815-00.pdf
103807-00,2003-12-23,"Optical,Transceiver, TXN1720xx and TXN1742xx, PCN 103807-00, FYI, Threshold Change.",Software,Networking Products,"Networking Products, Software",https://QDMS.intel.com/dm/i.aspx/9C32A59C-6684-443B-92A4-367E9FD39769/PCN103807-00.pdf
103810-00,2003-12-23,"D875PBZ, PCN 103810-00, FFF, New BIOS & LAN Enhancements",Product Design,Desktop Boards,"Desktop Boards, Product Design",https://QDMS.intel.com/dm/i.aspx/40601C4A-81B0-4229-BD7F-232B2371ACF6/PCN103810-00.pdf
103797-00,2003-12-22,"Intel(R) NetMerge(TM) Converged Communication Software (CCS 3.00), CT Media 2.11 and CT Media 2.1 Product Lines, PCN 103797-00, PD, Product Discontinuance due to low volume of Sales",Product Discontinuance,Telecom and Compute,"Telecom Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN.",https://QDMS.intel.com/dm/i.aspx/40EB78C9-6318-4A7E-B06D-73B5FCE755AD/PCN103797-00.pdf
103792-00,2003-12-19,"Optical Transceiver,TXN1322xx, PCN 103792-00, FFF, Pre-Production to Production.","Product Design, Order Code, Process",Networking Products,"Networking Products, Order Code, Process, Product Design",https://QDMS.intel.com/dm/i.aspx/D123CD30-5D30-4B05-AC14-6B04CE73CBD9/PCN103792-00.pdf
103787-00,2003-12-19,"Optical Transceiver,TXN1322xx, PCN 103787-00, FFF, Pre-Production to Production.","Product Design, Order Code, Process",Networking Products,"Networking Products, Order Code, Process, Product Design, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/FED5C44A-447D-4023-82DB-D29648CC4916/PCN103787-00.pdf
103789-00,2003-12-19,"Optical Transceiver,TXN1322xx, PCN 103789-00, FFF, Pre-Production to Production.","Product Design, Order Code, Process",Networking Products,"Networking Products, Order Code, Process, Product Design",https://QDMS.intel.com/dm/i.aspx/45BCE865-CCDD-4B8C-9319-369325A12B2D/PCN103789-00.pdf
103791-00,2003-12-17,"SE7501WV2, PCN 103791-00, FYI, Class 2; Adding Intel Server Management Software version 5.5.7",Software,Server Boards and Platforms,"Server Boards and Platforms, Software, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/435A7BDB-8FED-4DF5-A451-E4E04C7DA991/D103791-00.pdf
103776-00,2003-12-17,"DISI16R2, DISI16R2JP, DISI24R2, DISI24R2JP, DISI32R2, DISI32R2JP, PCN 103776-00, FYI, Change Capacitor to Correct Regulator Instability and as a Consequence  Potential DSP Failure",Product Design,Telecom and Compute,"Telecom Products, Product Design",https://QDMS.intel.com/dm/i.aspx/AEAB52E5-AD32-42DC-B0AC-E23BDC3D0463/PCN103776-00.pdf
103770-00,2003-12-12,"S1109CR, PCN 103770-00, PD",Product Discontinuance,Embedded Processors,"Embedded Processors, Product Discontinuance, Date to implement this change is a non-standard compressed timeline; please see PCN details for further information.",https://QDMS.intel.com/dm/i.aspx/3B9D265F-04A3-43F2-8045-10BA8D9C509F/PCN103770-00.pdf
